Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
count_12__NAND4X0P5H7R_A_Y_OR4X3H7R_C,1.2,5.535e-05,0.000e+00,3.000e-10,5.535e-05
count_21__reg_p_D_AOI21X2H7R_Y_A1_OR3X1P4H7R_Y,1.2,3.719e-05,0.000e+00,1.836e-10,3.719e-05
count_16__reg_p_D_NOR2X3H7R_Y_B_XNOR2X3H7R_Y,1.2,3.472e-05,0.000e+00,4.966e-10,3.472e-05
count_20__reg_p_D_AOI21X2H7R_Y_A1_OR3X1P4H7R_Y,1.2,3.452e-05,0.000e+00,1.838e-10,3.452e-05
count_19__reg_p_D_AOI21X1P4H7R_Y_A1_OR3X1P4H7R_Y,1.2,3.172e-05,0.000e+00,1.828e-10,3.172e-05
count_21__reg_p_D_AOI21X2H7R_Y,1.2,2.229e-05,0.000e+00,1.458e-10,2.229e-05
count_12__NAND4X0P5H7R_A_Y_OR4X3H7R_C_Y_BUFX7H7R_A,1.2,2.192e-05,0.000e+00,6.049e-10,2.192e-05
count_20__reg_p_D_AOI21X2H7R_Y,1.2,2.093e-05,0.000e+00,1.458e-10,2.093e-05
count_19__reg_p_D_AOI21X1P4H7R_Y,1.2,1.746e-05,0.000e+00,1.243e-10,1.746e-05
count_26__NOR4X0P5H7R_A_Y_NAND3X0P5H7R_A_Y_NOR3X3H7R_A_B_NAND4BX1P4H7R_Y,1.2,1.301e-05,0.000e+00,1.198e-10,1.301e-05
count_18__reg_p_D_AOI2XB1X1H7R_Y,1.2,1.232e-05,0.000e+00,1.933e-10,1.232e-05
count_3__NAND4X6H7R_D,1.2,1.201e-05,0.000e+00,1.807e-10,1.201e-05
count_21__reg_p_D_AOI21X2H7R_Y_A0_OAI21X1P4H7R_Y,1.2,1.194e-05,0.000e+00,1.241e-10,1.194e-05
count_17__reg_p_D_AOI2XB1X1H7R_Y,1.2,9.533e-06,0.000e+00,1.940e-10,9.533e-06
count_20__reg_p_D_AOI21X2H7R_Y_A0_OAI21X0P5H7R_Y,1.2,9.019e-06,0.000e+00,8.743e-11,9.019e-06
count_26__NOR4X0P5H7R_A_Y_NAND3X0P5H7R_A_Y_NOR3X3H7R_A_Y_BUFX16H7R_A,1.2,8.735e-06,0.000e+00,1.518e-09,8.737e-06
count_20__reg_p_D_AOI21X2H7R_Y_A1_OR3X1P4H7R_Y_C_OR2X1P4H7R_B,1.2,8.645e-06,0.000e+00,1.873e-10,8.645e-06
count_18__reg_p_D_AOI2XB1X1H7R_Y_A0_OAI21X0P5H7R_Y,1.2,8.495e-06,0.000e+00,8.736e-11,8.495e-06
count_7__reg_p_D_NOR2X0P5H7R_Y_B_XOR2X0P5H7R_Y,1.2,8.363e-06,0.000e+00,3.512e-10,8.363e-06
count_3__reg_p_D_NOR2X0P5H7R_Y_B_XOR2X0P5H7R_Y,1.2,8.132e-06,0.000e+00,3.497e-10,8.132e-06
count_20__reg_p_D_AOI21X2H7R_Y_A1_OR3X1P4H7R_Y_C_NAND4X0P5H7R_Y,1.2,8.067e-06,0.000e+00,3.214e-11,8.067e-06
count_12__NAND4X0P5H7R_A,1.2,7.947e-06,0.000e+00,3.129e-11,7.947e-06
count_19__reg_p_D_AOI21X1P4H7R_Y_A0_OAI21X0P5H7R_Y,1.2,7.758e-06,0.000e+00,8.751e-11,7.758e-06
count_17__reg_p_D_AOI2XB1X1H7R_Y_A0_OAI21X1H7R_Y,1.2,7.269e-06,0.000e+00,1.105e-10,7.269e-06
count_7__NAND4X6H7R_C,1.2,6.536e-06,0.000e+00,2.000e-10,6.536e-06
count_8__reg_p_D_AOI21X0P5H7R_Y_A1_OR3X1H7R_Y,1.2,6.420e-06,0.000e+00,1.712e-10,6.420e-06
count_16__reg_p_D_NOR2X3H7R_Y,1.2,6.389e-06,0.000e+00,1.894e-10,6.389e-06
count_7__reg_p_D_NOR2X0P5H7R_Y_B_XOR2X0P5H7R_Y_B_NAND4X0P5H7R_Y,1.2,5.941e-06,0.000e+00,3.011e-11,5.941e-06
count_6__reg_p_D_NOR2X0P5H7R_Y_B_XOR2X0P5H7R_Y,1.2,5.890e-06,0.000e+00,3.486e-10,5.891e-06
count_22__reg_p_D_AOI2BB1X1P4H7R_Y,1.2,5.572e-06,0.000e+00,2.209e-10,5.572e-06
count_2__reg_p_D_NOR2X0P5H7R_Y_B_XOR2X0P5H7R_Y,1.2,5.369e-06,0.000e+00,3.524e-10,5.370e-06
count_22__reg_p_D_AOI2BB1X1P4H7R_Y_A1N_NOR3BX1P4H7R_Y,1.2,4.990e-06,0.000e+00,1.741e-10,4.990e-06
count_12__NAND4X0P5H7R_A_Y_OR4X3H7R_C_D_NAND4X0P5H7R_Y,1.2,4.756e-06,0.000e+00,3.553e-11,4.756e-06
count_8__reg_p_D_AOI21X0P5H7R_Y,1.2,4.520e-06,0.000e+00,8.717e-11,4.520e-06
count_18__reg_p_D_AOI2XB1X1H7R_Y_A1N_NOR3X1P4H7R_Y,1.2,4.243e-06,0.000e+00,8.311e-11,4.243e-06
count_26__NOR4X0P5H7R_A_Y_NAND3X0P5H7R_A_Y_NOR3X3H7R_A,1.2,4.181e-06,0.000e+00,1.491e-10,4.181e-06
count_1__reg_p,1.2,3.865e-06,0.000e+00,8.422e-10,3.865e-06
count_6__reg_p,1.2,3.863e-06,0.000e+00,8.437e-10,3.864e-06
count_5__reg_p,1.2,3.863e-06,0.000e+00,8.423e-10,3.864e-06
count_2__reg_p,1.2,3.863e-06,0.000e+00,8.437e-10,3.863e-06
count_8__reg_p,1.2,3.861e-06,0.000e+00,8.507e-10,3.862e-06
count_3__reg_p,1.2,3.861e-06,0.000e+00,8.440e-10,3.862e-06
count_7__reg_p,1.2,3.861e-06,0.000e+00,8.440e-10,3.862e-06
count_10__reg_p,1.2,3.861e-06,0.000e+00,8.402e-10,3.861e-06
count_11__reg_p,1.2,3.859e-06,0.000e+00,8.507e-10,3.860e-06
count_14__reg_p,1.2,3.859e-06,0.000e+00,8.386e-10,3.860e-06
count_9__reg_p,1.2,3.859e-06,0.000e+00,8.394e-10,3.859e-06
count_17__reg_p,1.2,3.859e-06,0.000e+00,8.407e-10,3.859e-06
count_18__reg_p,1.2,3.857e-06,0.000e+00,8.414e-10,3.858e-06
count_13__reg_p,1.2,3.857e-06,0.000e+00,8.386e-10,3.858e-06
count_12__reg_p,1.2,3.857e-06,0.000e+00,8.389e-10,3.858e-06
