Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
count_12__NAND4X0P5H7L_A_Y_OR4X3H7L_C,1.08,4.268e-05,0.000e+00,8.107e-09,4.269e-05
count_21__reg_p_D_AOI21X2H7L_Y_A1_OR3X1P4H7L_Y,1.08,2.871e-05,0.000e+00,5.785e-09,2.872e-05
count_20__reg_p_D_AOI21X2H7L_Y_A1_OR3X1P4H7L_Y,1.08,2.658e-05,0.000e+00,5.788e-09,2.659e-05
count_19__reg_p_D_AOI21X1P4H7L_Y_A1_OR3X1P4H7L_Y,1.08,2.448e-05,0.000e+00,5.778e-09,2.449e-05
count_16__reg_p_D_NOR2X3H7L_Y_B_XNOR2X1P4H7L_Y,1.08,1.945e-05,0.000e+00,8.477e-09,1.945e-05
count_21__reg_p_D_AOI21X2H7L_Y,1.08,1.773e-05,0.000e+00,5.764e-09,1.773e-05
count_12__NAND4X0P5H7L_A_Y_OR4X3H7L_C_Y_BUFX7H7L_A,1.08,1.726e-05,0.000e+00,1.229e-08,1.727e-05
count_20__reg_p_D_AOI21X2H7L_Y,1.08,1.670e-05,0.000e+00,5.764e-09,1.671e-05
count_19__reg_p_D_AOI21X1P4H7L_Y,1.08,1.371e-05,0.000e+00,4.652e-09,1.371e-05
count_26__NOR4X0P5H7L_A_Y_NAND3X0P5H7L_A_Y_NOR3X3H7L_A_B_NAND4BX1P4H7L_Y,1.08,1.007e-05,0.000e+00,5.115e-09,1.008e-05
count_18__reg_p_D_AOI2XB1X1H7L_Y,1.08,9.474e-06,0.000e+00,6.159e-09,9.480e-06
count_3__NAND4X6H7L_D,1.08,9.350e-06,0.000e+00,9.502e-09,9.359e-06
count_21__reg_p_D_AOI21X2H7L_Y_A0_OAI21X0P5H7L_Y,1.08,7.356e-06,0.000e+00,3.809e-09,7.359e-06
count_17__reg_p_D_AOI2XB1X1H7L_Y,1.08,7.320e-06,0.000e+00,6.176e-09,7.326e-06
count_20__reg_p_D_AOI21X2H7L_Y_A0_OAI21X0P5H7L_Y,1.08,6.902e-06,0.000e+00,3.809e-09,6.906e-06
count_26__NOR4X0P5H7L_A_Y_NAND3X0P5H7L_A_Y_NOR3X3H7L_A_Y_BUFX16H7L_A,1.08,6.822e-06,0.000e+00,3.070e-08,6.853e-06
count_20__reg_p_D_AOI21X2H7L_Y_A1_OR3X1P4H7L_Y_C_OR2X1P4H7L_B,1.08,6.627e-06,0.000e+00,5.259e-09,6.632e-06
count_18__reg_p_D_AOI2XB1X1H7L_Y_A0_OAI21X0P5H7L_Y,1.08,6.504e-06,0.000e+00,3.810e-09,6.507e-06
count_7__reg_p_D_NOR2X0P5H7L_Y_B_XOR2X0P5H7L_Y,1.08,6.260e-06,0.000e+00,7.911e-09,6.267e-06
count_20__reg_p_D_AOI21X2H7L_Y_A1_OR3X1P4H7L_Y_C_NAND4X0P5H7L_Y,1.08,6.117e-06,0.000e+00,3.805e-09,6.121e-06
